component_id	phase	anatomical_scope	reference_support	proxy_method	placement_basis	rig_status	material_status	acceptance_gate	current_status
pelvic_reference_envelope	A	bony pelvis bounding reference	mri_pelvis_cc_by;female_repro_urinary_cc_by	new low-poly wire envelope	Kira pelvis landmarks only	NO_RIG	neutral clinical material	landmark containment and bilateral symmetry	PLANNED_PROXY_NOT_ANATOMY
bladder_proxy	A	urinary pelvic organ	mri_pelvis_cc_by;female_repro_urinary_cc_by	new UV sphere derivative primitive	pelvic center; pubic and pelvic-floor anchors	NO_RIG	separate neutral clinical material	two-source placement interval and no outer-shell intersection	PLANNED_PROXY_NOT_FUNCTIONAL_ORGAN
uterus_proxy	A	reproductive pelvic organ	mri_pelvis_cc_by;female_repro_urinary_cc_by	new flattened low-poly sphere	bladder posterior relation; pelvic midline	NO_RIG	separate neutral clinical material	two-source relation gate and bilateral midline gate	PLANNED_PROXY_NOT_FUNCTIONAL_ORGAN
uterine_tube_left_proxy	A	reproductive connection	mri_pelvis_cc_by;female_repro_urinary_cc_by	new beveled curve	uterus to left ovary endpoints	NO_RIG	separate neutral clinical material	continuous endpoints and left/right separation	PLANNED_PROXY_NOT_FUNCTIONAL_ORGAN
uterine_tube_right_proxy	A	reproductive connection	mri_pelvis_cc_by;female_repro_urinary_cc_by	new beveled curve	uterus to right ovary endpoints	NO_RIG	separate neutral clinical material	continuous endpoints and left/right separation	PLANNED_PROXY_NOT_FUNCTIONAL_ORGAN
ovary_left_proxy	A	reproductive pelvic organ	mri_pelvis_cc_by;female_repro_urinary_cc_by	new low-poly ellipsoid	left lateral uterus relation	NO_RIG	separate neutral clinical material	inside pelvis envelope and bilateral-pair gate	PLANNED_PROXY_NOT_FUNCTIONAL_ORGAN
ovary_right_proxy	A	reproductive pelvic organ	mri_pelvis_cc_by;female_repro_urinary_cc_by	new low-poly ellipsoid	right lateral uterus relation	NO_RIG	separate neutral clinical material	inside pelvis envelope and bilateral-pair gate	PLANNED_PROXY_NOT_FUNCTIONAL_ORGAN
rectum_reference_proxy	A	distal digestive placement reference	mri_pelvis_cc_by	new beveled curve	posterior pelvis relation	NO_RIG	separate neutral clinical material	posterior relation and no bladder overlap	PLANNED_REFERENCE_ONLY_NOT_COMPLETE_DIGESTIVE_SYSTEM
vulvar_region_reference_proxy	A	external pelvic landmark envelope	mri_pelvis_cc_by	new low-poly landmark envelope	pelvic-floor and pubic anchors	NO_RIG	neutral clinical reference material	privacy-safe neutral render and outer-shell containment	PLANNED_REFERENCE_ONLY_NOT_PRODUCTION_EXTERNAL_ANATOMY
kidney_left_proxy	B	upper urinary organ	female_repro_urinary_cc_by	new low-poly ellipsoid	future torso landmark frame	NO_RIG	UNSPECIFIED	authoritative medical cross-check plus Kira torso anchors	DEFERRED_NOT_IN_V3R27_EXECUTION
kidney_right_proxy	B	upper urinary organ	female_repro_urinary_cc_by	new low-poly ellipsoid	future torso landmark frame	NO_RIG	UNSPECIFIED	authoritative medical cross-check plus Kira torso anchors	DEFERRED_NOT_IN_V3R27_EXECUTION
adrenal_left_proxy	B	endocrine partial reference	female_repro_urinary_cc_by	new low-poly primitive	left kidney relation	NO_RIG	UNSPECIFIED	separate endocrine scope and source cross-check	DEFERRED_NOT_IN_V3R27_EXECUTION
adrenal_right_proxy	B	endocrine partial reference	female_repro_urinary_cc_by	new low-poly primitive	right kidney relation	NO_RIG	UNSPECIFIED	separate endocrine scope and source cross-check	DEFERRED_NOT_IN_V3R27_EXECUTION
ureter_left_proxy	B	urinary connection	female_repro_urinary_cc_by	new beveled curve	left kidney to bladder endpoints	NO_RIG	UNSPECIFIED	continuous endpoints and torso clearance	DEFERRED_NOT_IN_V3R27_EXECUTION
ureter_right_proxy	B	urinary connection	female_repro_urinary_cc_by	new beveled curve	right kidney to bladder endpoints	NO_RIG	UNSPECIFIED	continuous endpoints and torso clearance	DEFERRED_NOT_IN_V3R27_EXECUTION
pelvic_iliac_vessel_reference	C	partial vascular reference	mri_pelvis_cc_by	future new curve network	pelvic landmark frame	NO_RIG	UNSPECIFIED	separate cardiovascular audit	DEFERRED_NOT_IN_V3R27_EXECUTION
lumbosacral_nerve_reference	C	partial peripheral nerve reference	mri_pelvis_cc_by	future new curve network	pelvic and spine anchors	NO_RIG	UNSPECIFIED	separate neurological audit	DEFERRED_NOT_IN_V3R27_EXECUTION
whole_skeleton_mapping	S	136-bone imported armature study	skeleton_rig_cc_by;female_skeleton_cc_by	mapping evidence only; no imported mesh in Stage A	separate hierarchy pose weight audit	UNMAPPED_136_BONES	bone-reference material only	136/136 evidence plus rest-pose and deformation audit	SEPARATE_AUDIT_NO_INTEGRATION
outer_skin_shell	OPEN	adult outer body	NO_ACCEPTED_V3R27_SOURCE	NONE	future Kira-specific topology	UNPROVEN	regional pigmentation required	Blender save reload independent renders and deformation evidence	OPEN_NOT_PROVEN
respiratory_system	OPEN	lungs and airway	NO_SOURCE	NONE	NONE	UNPROVEN	UNSPECIFIED	authoritative references and separate bounded build	OPEN_NOT_PROVEN
cardiovascular_system	OPEN	heart and whole-body circulation	PARTIAL_PELVIC_ONLY	NONE	NONE	UNPROVEN	UNSPECIFIED	authoritative references and separate bounded build	OPEN_NOT_PROVEN
digestive_system	OPEN	complete digestive tract	RECTUM_ONLY	NONE	NONE	UNPROVEN	UNSPECIFIED	authoritative references and separate bounded build	OPEN_NOT_PROVEN
brain_cns	OPEN	brain spinal cord central nervous system	NO_SOURCE	NONE	NONE	UNPROVEN	UNSPECIFIED	authoritative references and separate bounded build	OPEN_NOT_PROVEN
endocrine_lymphatic_immune	OPEN	complete endocrine lymphatic immune systems	ADRENALS_ONLY_PARTIAL	NONE	NONE	UNPROVEN	UNSPECIFIED	authoritative references and separate bounded build	OPEN_NOT_PROVEN
